dist,state,censuscode,total_area,ban_area,percent_ban,agri_area,ban_agri_area,pop,ban_pop,cultivators,ban_cultivators,agri_labour,ban_agri_labour,op_holdings,ban_op_holdings,ban_agri_area_90,ban_pop_90,ban_cultivators_90,ban_agri_labour_90,ban_op_holdings_90,ban_agri_area_50,ban_pop_50,ban_cultivators_50,ban_agri_labour_50,ban_op_holdings_50
Pakur,Jharkhand,353,1829.87,1098.5,60.03,867,520.5,900422,540538,105334,63234,,,117074,70281.38,260.25,270269,31617,,35140.69,520.5,540538,63234,0,70281.38
Nalbari,Assam,323,1040.12,647.63,62.26,702,437.1,771639,480460,58070,36157,34984,21781,66555,41440.42,218.55,240230,18078.5,10890.5,20720.21,437.1,480460,36157,21781,41440.42
Kheri,Uttar Pradesh,153,7767.25,4999.75,64.37,5092,3277.7,4021243,2588459,529223,340659,422142,271733,611962,393917.67,1638.85,1294229.5,170329.5,135866.5,196958.84,3277.7,2588459,340659,271733,393917.67
Bongaigaon,Assam,319,1060.95,696.52,65.65,576,378.1,738804,485029,83442,54780,47406,31122,78957,51835.74,189.05,242514.5,27390,15561,25917.87,378.1,485029,54780,31122,51835.74
Bahraich,Uttar Pradesh,180,4358.91,2942.56,67.51,3475,2345.9,3487731,2354455,430227,290432,482897,326004,505793,341444.59,1172.95,1177227.5,145216,163002,170722.3,2345.9,2354455,290432,326004,341444.59
Darrang,Assam,325,1625.23,1121.5,69.01,778,536.9,928500,640717,129456,89332,81617,56324,95964,66220.55,268.45,320358.5,44666,28162,33110.28,536.9,640717,89332,56324,66220.55
West Khasi Hills,Meghalaya,296,5271.64,3640.77,69.06,,,383461,264831,,,,,,,,132415.5,,,,0,264831,0,0,0
Kathua,Jammu & Kashmir,7,2370.28,1656.69,69.89,767,536.1,616435,430853,69533,48600,21566,15072,80891,56538.18,268.05,215426.5,24300,7536,28269.09,536.1,430853,48600,15072,56538.18
Thoubal,Manipur,276,719.77,508.1,70.59,341,240.7,422168,298017,77331,54590,33106,23370,32610,23020.05,120.35,149008.5,27295,11685,11510.03,240.7,298017,54590,23370,23020.05
Kinnaur,Himachal Pradesh,34,6504.35,4720.91,72.58,142,103.1,84121,61056,32995,23948,2537,1841,10757,7807.52,51.55,30528,11974,920.5,3903.76,103.1,61056,23948,1841,7807.52
Upper Siang,Arunanchal Pradesh,252,6816.01,5141.17,75.43,182,137.3,35320,26641,9976,7525,804,606,3715,2802.14,68.65,13320.5,3762.5,303,1401.07,137.3,26641,7525,606,2802.14
Pilibhit,Uttar Pradesh,151,3618.98,2783.07,76.9,2312,1778,2031007,1561886,216476,166474,224192,172404,222158,170844.07,889,780943,83237,86202,85422.04,1778,1561886,166474,172404,170844.07
Ganganagar,Rajasthan,99,10758.77,8287.67,77.03,8487,6537.7,1969168,1516885,268297,206674,230438,177506,114941,88541.08,3268.85,758442.5,103337,88753,44270.54,6537.7,1516885,206674,177506,88541.08
Jaintia Hills,Meghalaya,299,3829.35,3118.19,81.43,,,395124,321744,,,,,,,,160872,,,,0,321744,0,0,0
Phek,Nagaland,266,2068.9,1692.19,81.79,687,561.9,163418,133662,55091,45060,3159,2584,18825,15397.3,280.95,66831,22530,1292,7698.65,561.9,133662,45060,2584,15397.3
Purba Champaran,Bihar,204,4011.11,3345.93,83.42,3416,2849.5,5099371,4253720,349032,291150,1057417,882097,935396,780275.17,1424.75,2126860,145575,441048.5,390137.59,2849.5,4253720,291150,882097,780275.17
West Kameng,Arunanchal Pradesh,246,5307.29,4466.26,84.15,140,117.8,83947,70644,14476,12182,1705,1435,6416,5399.28,58.9,35322,6091,717.5,2699.64,117.8,70644,12182,1435,5399.28
Murshidabad,West Bengal,333,5384.98,4579.85,85.05,4387,3731.1,7103807,6041688,381076,324100,842294,716371,599107,509532.1,1865.55,3020844,162050,358185.5,254766.05,3731.1,6041688,324100,716371,509532.1
Badgam,Jammu & Kashmir,2,1291.28,1102.65,85.39,491,419.3,753745,643638,55299,47221,36630,31278,113728,97114.63,209.65,321819,23610.5,15639,48557.32,419.3,643638,47221,31278,97114.63
Dhubri,Assam,301,2316.19,1986.22,85.75,1202,1030.8,1949258,1671562,205305,176057,171116,146732,128763,110419.11,515.4,835781,88028.5,73366,55209.56,1030.8,1671562,176057,146732,110419.11
Reasi,Jammu & Kashmir,20,2296.27,1987.55,86.56,351,303.8,314667,272362,96147,83221,4009,3470,41123,35594.25,151.9,136181,41610.5,1735,17797.13,303.8,272362,83221,3470,35594.25
Amritsar,Punjab,49,2675.91,2383.56,89.07,2161,1924.9,2490656,2218545,124617,111002,121599,108308,69924,62284.62,962.45,1109272.5,55501,54154,31142.31,1924.9,2218545,111002,108308,62284.62
Serchhip,Mizoram,285,1162.15,1038.99,89.4,89,79.6,64937,58055,21804,19493,1284,1148,7432,6644.39,39.8,29027.5,9746.5,574,3322.2,79.6,58055,19493,1148,6644.39
Shrawasti,Uttar Pradesh,181,2523.97,2269.3,89.91,1357,1220.1,1117361,1004619,163449,146957,165118,148458,193107,173622.39,610.05,502309.5,73478.5,74229,86811.2,1220.1,1004619,146957,148458,173622.39
Churachandpur,Manipur,274,4619.4,4196.82,90.85,137,124.5,274143,249065,64834,58903,8282,7524,15390,13982.13,124.5,249065,58903,7524,13982.13,124.5,249065,58903,7524,13982.13
West Garo Hills,Meghalaya,293,3373.99,3068.48,90.95,,,643291,585042,,,,,,,,585042,,,,0,585042,0,0,0
Srinagar,Jammu & Kashmir,10,1071.81,975.2,90.99,114,103.7,1236829,1125345,12228,11126,10408,9470,36499,33209.08,103.7,1125345,11126,9470,33209.08,103.7,1125345,11126,9470,33209.08
Balrampur,Uttar Pradesh,182,3349.58,3055.19,91.21,2265,2065.9,2148665,1959822,276614,252303,328768,299869,295033,269102.95,2065.9,1959822,252303,299869,269102.95,2065.9,1959822,252303,299869,269102.95
North 24 Parganas,West Bengal,337,5868.24,5355.66,91.27,2810,2564.6,10009781,9135445,288058,262897,599039,546743,444850,405993.17,2564.6,9135445,262897,546743,405993.17,2564.6,9135445,262897,546743,405993.17
Hailakandi,Assam,318,1343.77,1242.21,92.44,739,683.1,659296,609467,65673,60710,31248,28886,67396,62302.32,683.1,609467,60710,28886,62302.32,683.1,609467,60710,28886,62302.32
Maldah,West Bengal,332,3629.14,3410.93,93.99,2963,2784.8,3988845,3749007,255182,239839,545759,512959,392621,369013.8,2784.8,3749007,239839,512959,369013.8,2784.8,3749007,239839,512959,369013.8
Tarn Taran,Punjab,50,2407.92,2271.23,94.32,1914,1805.3,1119627,1056069,115853,109276,81216,76603,58967,55619.63,1805.3,1056069,109276,76603,55619.63,1805.3,1056069,109276,76603,55619.63
Gurdaspur,Punjab,35,3640.57,3453.38,94.86,,,2298323,2180148,,,,,,,,2180148,,,,0,2180148,0,0,0
Pashchim Champaran,Bihar,203,5289.45,5051.58,95.5,3313,3164,3935042,3758081,217539,207756,998833,953886,810191,773756.18,3164,3758081,207756,953886,773756.18,3164,3758081,207756,953886,773756.18
Tuensang,Nagaland,267,2489.5,2386.57,95.87,1783,1709.3,196596,188468,75212,72102,3913,3751,23394,22426.76,1709.3,188468,72102,3751,22426.76,1709.3,188468,72102,3751,22426.76
Dibang Valley,Arunanchal Pradesh,257,7464.87,7169.4,96.04,38,36.5,8004,7687,1290,1239,106,102,1246,1196.68,36.5,7687,1239,102,1196.68,36.5,7687,1239,102,1196.68
Mamit,Mizoram,281,3061.98,3004,98.11,174,170.7,86364,84729,28669,28126,2553,2505,10438,10240.35,170.7,84729,28126,2505,10240.35,170.7,84729,28126,2505,10240.35
Ukhrul,Manipur,279,4494.25,4419.01,98.33,152,149.5,183998,180918,56815,55864,3852,3788,12305,12099,149.5,180918,55864,3788,12099,149.5,180918,55864,3788,12099
Kokrajhar,Assam,300,3201.17,3153.28,98.5,884,870.8,887142,873870,,,,,124650,122785.22,870.8,873870,,,122785.22,870.8,873870,0,0,122785.22
Maharajganj,Uttar Pradesh,187,2921.37,2878.88,98.55,2062,2032,2684703,2645655,229847,226504,532486,524765,386468,380847,2032,2645655,226504,524765,380847,2032,2645655,226504,524765,380847
East Khasi Hills,Meghalaya,298,2828.64,2791.77,98.7,387,382,825922,815156,76767,75766,40889,40357,32534,32109.93,382,815156,75766,40357,32109.93,382,815156,75766,40357,32109.93
Madhubani,Bihar,207,3466.38,3429.74,98.94,2358,2333.1,4487379,4439947,396880,392685,940642,930671,635211,628496.75,2333.1,4439947,392685,930671,628496.75,2333.1,4439947,392685,930671,628496.75
Firozpur,Punjab,43,5238.12,5193.39,99.15,,,2029074,2011747,,,,,,,,2011747,,,,0,2011747,0,0,0
Sitamarhi,Bihar,206,2349.53,2336.1,99.43,1550,1541.1,3423574,3404005,216012,214777,635907,632282,651972,648245.3,1541.1,3404005,214777,632282,648245.3,1541.1,3404005,214777,632282,648245.3
Supaul,Bihar,208,2417.53,2407.09,99.57,1691,1683.7,2229076,2219450,201882,201010,554271,551888,375901,374277.69,1683.7,2219450,201010,551888,374277.69,1683.7,2219450,201010,551888,374277.69
Pithoragarh,Uttarakhand,62,7292.33,7261.47,99.58,440,438.1,483439,481393,137332,136751,5432,5409,79846,79508.1,438.1,481393,136751,5409,79508.1,438.1,481393,136751,5409,79508.1
Anjaw,Arunanchal Pradesh,260,6561.99,6558.04,99.94,93,92.9,21167,21154,6316,6312,181,181,2713,2711.37,92.9,21154,6312,181,2711.37,92.9,21154,6312,181,2711.37
Siddharth Nagar,Uttar Pradesh,184,2854.1,2853.11,99.97,2447,2446.2,2559297,2558409,298360,298257,,,406410,406269.03,2446.2,2558409,298257,,406269.03,2446.2,2558409,298257,0,406269.03
Nadia,West Bengal,336,3954.86,3954.4,99.99,3500,3499.6,5167600,5166999,308742,308706,556134,556078,424206,424156.66,3499.6,5166999,308706,556078,424156.66,3499.6,5166999,308706,556078,424156.66
Araria,Bihar,209,2829.15,2829.14,100,2161,2161,2811569,2811559,222913,222912,691947,691947,388978,388976.63,2161,2811559,222912,691947,388976.63,2161,2811559,222912,691947,388976.63
Baksa,Assam,324,2390.03,2390.03,100,1087,1087,950075,950075,149288,149288,94591,94591,89531,89531,1087,950075,149288,94591,89531,1087,950075,149288,94591,89531
Baramula,Jammu & Kashmir,8,1782.19,1782.19,100,642,642,1008039,1008039,57495,57495,62246,62246,126466,126466,642,1008039,57495,62246,126466,642,1008039,57495,62246,126466
Champawat,Uttarakhand,65,1661.62,1661.62,100,303,303,259648,259648,59993,59993,4032,4032,36274,36274,303,259648,59993,4032,36274,303,259648,59993,4032,36274
Champhai,Mizoram,284,3381.44,3381.44,100,223,223,125745,125745,38336,38336,5823,5823,20200,20200,223,125745,38336,5823,20200,223,125745,38336,5823,20200
Chandel,Manipur,280,3212.21,3212.21,100,97,97,144182,144182,43255,43255,8315,8315,6265,6265,97,144182,43255,8315,6265,97,144182,43255,8315,6265
Changlang,Arunanchal Pradesh,253,5078.78,5078.78,100,494,494,148226,148226,39732,39732,4208,4208,8882,8882,494,148226,39732,4208,8882,494,148226,39732,4208,8882
Chirang,Assam,320,1744.61,1744.61,100,443,443,482162,482162,80328,80328,35224,35224,44847,44847,443,482162,80328,35224,44847,443,482162,80328,35224,44847
Dakshin Dinajpur,West Bengal,331,2186.92,2186.92,100,1922,1922,1676276,1676276,193276,193276,279932,279932,222573,222573,1922,1676276,193276,279932,222573,1922,1676276,193276,279932,222573
Darjiling,West Bengal,327,3217.42,3217.42,100,1513,1513,1846823,1846823,76178,76178,66041,66041,104358,104358,1513,1846823,76178,66041,104358,1513,1846823,76178,66041,104358
Dhalai,Tripura,291,2275.06,2275.06,100,374,374,378230,378230,45956,45956,42201,42201,73512,73512,374,378230,45956,42201,73512,374,378230,45956,42201,73512
East Sikkim,Sikkim,244,949.97,949.97,100,290,290,1992929,1992929,31489,31489,11483,11483,24566,24566,290,1992929,31489,11483,24566,290,1992929,31489,11483,24566
Ganderbal,Jammu & Kashmir,11,1075.1,1075.1,100,148,148,297446,297446,15337,15337,19312,19312,39817,39817,148,297446,15337,19312,39817,148,297446,15337,19312,39817
Jalpaiguri,West Bengal,328,6272.18,6272.18,100,,,3872846,3872846,,,,,,,,3872846,,,,0,3872846,0,0,0
Jammu,Jammu & Kashmir,21,2018.91,2018.91,100,1017,1017,1529958,1529958,68613,68613,36873,36873,140246,140246,1017,1529958,68613,36873,140246,1017,1529958,68613,36873,140246
Karimganj,Assam,317,1885.26,1885.26,100,818,818,1228686,1228686,94348,94348,67033,67033,50190,50190,818,1228686,94348,67033,50190,818,1228686,94348,67033,50190
Kiphire,Nagaland,269,1158.4,1158.4,100,422,422,74004,74004,21432,21432,1259,1259,8739,8739,422,74004,21432,1259,8739,422,74004,21432,1259,8739
Kishanganj,Bihar,210,1948.83,1948.83,100,1357,1357,1690400,1690400,107862,107862,321867,321867,311396,311396,1357,1690400,107862,321867,311396,1357,1690400,107862,321867,311396
Koch Bihar,West Bengal,329,3434.68,3434.68,100,2725,2725,2819086,2819086,364797,364797,391875,391875,323278,323278,2725,2819086,364797,391875,323278,2725,2819086,364797,391875,323278
Kupwara,Jammu & Kashmir,1,2018.23,2018.23,100,,,870354,870354,34680,34680,56759,56759,,,,870354,34680,56759,,0,870354,34680,56759,0
Lawangtlai,Mizoram,287,2015.97,2015.97,100,97,97,117894,117894,29189,29189,,,11682,11682,97,117894,29189,,11682,97,117894,29189,0,11682
Longleng,Nagaland,268,569.01,569.01,100,544,544,50484,50484,22501,22501,1309,1309,6689,6689,544,50484,22501,1309,6689,544,50484,22501,1309,6689
Lunglei,Mizoram,286,4558.91,4558.91,100,158,158,161428,161428,45439,45439,10662,10662,15754,15754,158,161428,45439,10662,15754,158,161428,45439,10662,15754
Mon,Nagaland,261,1856.22,1856.22,100,1298,1298,250260,250260,113473,113473,10836,10836,24066,24066,1298,250260,113473,10836,24066,1298,250260,113473,10836,24066
North Sikkim,Sikkim,241,4293.7,4293.7,100,160,160,931687,931687,7313,7313,2262,2262,3570,3570,160,931687,7313,2262,3570,160,931687,7313,2262,3570
North Tripura,Tripura,292,2063.56,2063.56,100,,,693947,693947,,,,,,,,693947,,,,0,693947,0,0,0
Punch,Jammu & Kashmir,5,2409.89,2409.89,100,447,447,476835,476835,54264,54264,31583,31583,52131,52131,447,476835,54264,31583,52131,447,476835,54264,31583,52131
Rajouri,Jammu & Kashmir,6,1939.59,1939.59,100,787,787,642415,642415,136527,136527,,,77725,77725,787,642415,136527,,77725,787,642415,136527,0,77725
Saiha,Mizoram,288,1991.85,1991.85,100,39,39,56574,56574,8908,8908,957,957,4120,4120,39,56574,8908,957,4120,39,56574,8908,957,4120
Samba,Jammu & Kashmir,22,987.72,987.72,100,389,389,318898,318898,16894,16894,6105,6105,44174,44174,389,318898,16894,6105,44174,389,318898,16894,6105,44174
Sheohar,Bihar,205,290.49,290.49,100,321,321,656246,656246,38727,38727,136334,136334,87803,87803,321,656246,38727,136334,87803,321,656246,38727,136334,87803
South Sikkim,Sikkim,243,736.71,736.71,100,301,301,2878779,2878779,37802,37802,4188,4188,22829,22829,301,2878779,37802,4188,22829,301,2878779,37802,4188,22829
South Garo Hills,Meghalaya,295,1938.97,1938.97,100,210,210,142334,142334,28145,28145,5565,5565,12768,12768,210,142334,28145,5565,12768,210,142334,28145,5565,12768
South Tripura,Tripura,290,3172.91,3172.91,100,,,876001,876001,,,,,,,,876001,,,,0,876001,0,0,0
Tawang,Arunanchal Pradesh,245,2375.65,2375.65,100,45,45,49977,49977,7631,7631,1581,1581,6320,6320,45,49977,7631,1581,6320,45,49977,7631,1581,6320
Tirap,Arunanchal Pradesh,254,2046.98,2046.98,100,,,111975,111975,,,,,,,,111975,,,,0,111975,0,0,0
Udalguri,Assam,326,2056.91,2056.91,100,1053,1053,831668,831668,124824,124824,72744,72744,101548,101548,1053,831668,124824,72744,101548,1053,831668,124824,72744,101548
Uttar Dinajpur,West Bengal,330,3253.12,3253.12,100,2518,2518,3007134,3007134,257377,257377,442328,442328,285982,285982,2518,3007134,257377,442328,285982,2518,3007134,257377,442328,285982
West Sikkim,Sikkim,242,1209.43,1209.43,100,315,315,2679678,2679678,40797,40797,8053,8053,23963,23963,315,2679678,40797,8053,23963,315,2679678,40797,8053,23963
West Tripura,Tripura,289,3024.23,3024.23,100,,,1725739,1725739,,,,,,,,1725739,,,,,,,,
